,shopper_id,seniority,found_rate,picking_speed,accepted_rate,rating
0,1fc20b0bdf697ac13dd6a15cbd2fe60a,2,0.8606,1.94,1.0,4.87
1,e1c679ac73a69c01981fdd3c5ab8beda,0,0.8446,1.23,0.92,4.92
2,09d369c66ca86ebeffacb133410c5ee1,0,0.8559,1.56,1.0,4.88
3,db39866e62b95bb04ebb1e470f2d1347,1,0.8610823018458196,2.41,0.90827641969344,4.848428057553903
4,8efbc238660053b19f00ca431144fdae,0,0.877,1.31,0.92,4.88
5,48851e4b4e584d424d84c5caf2e9a30e,0,0.9048,1.1,0.92,4.72
6,561cf6ce565ddf83a028325444a3db01,1,0.7949,4.17,0.56,4.83
7,0cfaf7c3c140033cc4d70f3d98c39d39,1,0.907,1.84,0.84,5.0
8,026229d08139f0417381715cf4818bfb,0,0.8523,1.17,0.96,4.96
9,fe06e5d24d2e58abd8d2f731a65c9146,2,0.8521,1.71,1.0,4.96
10,8ba81f2bc39e3323b2596c17cf21500a,2,0.8497,1.29,1.0,4.76
11,5b5377ca231f383025b3349246e5faad,0,0.8379,1.22,0.92,4.76
12,ebb6d17d16784e0b8208a362f56a594a,2,0.8191,1.41,1.0,4.64
13,99d85b886ad7616ad5e6e243975d94f4,0,0.8475,1.5,0.92,4.96
14,405ccce0617a36e2d6ae79344d704ae6,2,0.8935,2.88,0.96,4.92
15,c5c15ba8c4dd7906c47ae913817c02a9,0,0.8362,1.78,0.866666666666667,4.44
16,8bc69c9d66e9131313cf479a1dfaf440,0,0.8918,1.12,0.875,4.93
17,7470554ee82ca53d2b3e734f69dab6e0,0,0.8691,1.81,0.96,4.84
18,6e734ffbb5967250eaadfe7e6f4550ae,0,0.8987,1.09,1.0,4.96
19,8b3f6b41a5c74b8e738a63687f8a2b61,1,0.8608,2.2,0.8,4.92
20,3f48e02fe735dc4db0ca34d96f38d18e,0,0.8872,1.24,0.96,4.96
21,8bfa36f047569a897a3f3660349afc0a,1,0.8488,2.21,0.92,4.8
22,dbf135f439eff84590e75c40dee7f0ca,1,0.8328,1.72,0.80952380952381,5.0
23,9280013e6763df6ad1618e781ff04f7f,2,0.8595,2.22,0.88,4.89
24,69c87348efc3db86c201b38736a8b678,0,0.879,1.46,1.0,4.76
25,e2dbb5d6b92d9c9d55142e8f840b639f,1,0.8326,1.29,0.84,4.72
26,77514dc4535a70ecbc0df7c9291286ab,0,0.8564,1.22,0.88,4.88
27,8f9e69b8ac8d0a2d950e344968474687,1,0.7611,1.93,0.76,4.88
28,d36dc84bda882ff3e9463e1c40c25e6f,0,0.8721,1.25,0.92,5.0
29,ae9062e7aa7d514cbb0903934a64f6ca,1,0.8267,2.94,0.84,4.87
